"Question","Characteristics","response","count","State"
"Hispanic origin and Race","Black alone, not Hispanic","Sometimes not enough to eat",162869,"NY"
"Hispanic origin and Race","Hispanic or Latino (may be of any race)","Sometimes not enough to eat",376741,"NY"
"Hispanic origin and Race","Two or more races + Other races, not Hispanic","Sometimes not enough to eat",17191,"NY"
"Hispanic origin and Race","White alone, not Hispanic","Sometimes not enough to eat",329779,"NY"
"Household income","$100,000 - $149,999","Sometimes not enough to eat",148986,"NY"
"Household income","$150,000 - $199,999","Sometimes not enough to eat",NA,"NY"
"Household income","$200,000 and above","Sometimes not enough to eat",4611,"NY"
"Household income","$25,000 - $34,999","Sometimes not enough to eat",86329,"NY"
"Household income","$35,000 - $49,999","Sometimes not enough to eat",107482,"NY"
"Household income","$50,000 - $74,999","Sometimes not enough to eat",97107,"NY"
"Household income","$75,000 - $99,999","Sometimes not enough to eat",7120,"NY"
"Household income","Did not report","Sometimes not enough to eat",219787,"NY"
"Household income","Less than $25,000","Sometimes not enough to eat",271730,"NY"
"Household size","1 person in the household","Sometimes not enough to eat",105115,"NY"
"Household size","2 people in the household","Sometimes not enough to eat",183128,"NY"
"Household size","3 people in the household","Sometimes not enough to eat",320982,"NY"
"Household size","4 people in the household","Sometimes not enough to eat",96474,"NY"
"Household size","5 people in the household","Sometimes not enough to eat",99076,"NY"
"Household size","6 people in the household","Sometimes not enough to eat",138375,"NY"
"Household size","7 or more people in the household","Sometimes not enough to eat",NA,"NY"
"Lesbian, Gay, Bisexual and Transgender","Did not report","Sometimes not enough to eat",125193,"NY"
"Lesbian, Gay, Bisexual and Transgender","No","Sometimes not enough to eat",624420,"NY"
"Lesbian, Gay, Bisexual and Transgender","Other","Sometimes not enough to eat",98908,"NY"
"Lesbian, Gay, Bisexual and Transgender","Yes","Sometimes not enough to eat",94630,"NY"
"Marital status","Did not report","Sometimes not enough to eat",NA,"NY"
"Marital status","Divorced/separated","Sometimes not enough to eat",120452,"NY"
"Marital status","Married","Sometimes not enough to eat",519715,"NY"
"Marital status","Never married","Sometimes not enough to eat",302983,"NY"
"Marital status","Widowed","Sometimes not enough to eat",NA,"NY"
"Presence of children under 18 years old","Children in household","Sometimes not enough to eat",425490,"NY"
"Presence of children under 18 years old","No children","Sometimes not enough to eat",517660,"NY"
"Reason for not working","Did not report reason","Sometimes not enough to eat",484088,"NY"
"Reason for not working","I am retired","Sometimes not enough to eat",55651,"NY"
"Reason for not working","I did not have transportation to work","Sometimes not enough to eat",45489,"NY"
"Reason for not working","I did not want to be employed at this time","Sometimes not enough to eat",10425,"NY"
"Reason for not working","I was caring for an elderly person","Sometimes not enough to eat",NA,"NY"
"Reason for not working","I was caring for children not in school or daycare","Sometimes not enough to eat",NA,"NY"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Sometimes not enough to eat",7254,"NY"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Sometimes not enough to eat",12702,"NY"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Sometimes not enough to eat",21822,"NY"
"Reason for not working","I was sick (not coronavirus related) or disabled","Sometimes not enough to eat",142414,"NY"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Sometimes not enough to eat",NA,"NY"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Sometimes not enough to eat",71530,"NY"
"Reason for not working","Other reason","Sometimes not enough to eat",91776,"NY"
"Received SNAP","Did not report","Sometimes not enough to eat",61899,"NY"
"Received SNAP","No","Sometimes not enough to eat",584435,"NY"
"Received SNAP","Yes","Sometimes not enough to eat",296817,"NY"
"Respondent employed in the last 7 days","Did not report","Sometimes not enough to eat",NA,"NY"
"Respondent employed in the last 7 days","No","Sometimes not enough to eat",469822,"NY"
"Respondent employed in the last 7 days","Yes","Sometimes not enough to eat",473329,"NY"
"Sex at birth","Female","Sometimes not enough to eat",525302,"NY"
"Sex at birth","Male","Sometimes not enough to eat",417849,"NY"
"Sexual orientation","Bisexual","Sometimes not enough to eat",67951,"NY"
"Sexual orientation","Did not report","Sometimes not enough to eat",125193,"NY"
"Sexual orientation","Gay or lesbian","Sometimes not enough to eat",26678,"NY"
"Sexual orientation","I don’t know","Sometimes not enough to eat",2388,"NY"
"Sexual orientation","Something else","Sometimes not enough to eat",34621,"NY"
"Sexual orientation","Straight","Sometimes not enough to eat",686319,"NY"
"Total","","Sometimes not enough to eat",943151,"NY"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Sometimes not enough to eat",398954,"NY"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Sometimes not enough to eat",125855,"NY"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Sometimes not enough to eat",299317,"NY"
"Used in the last 7 days to meet spending needs*","Did not report","Sometimes not enough to eat",NA,"NY"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Sometimes not enough to eat",46503,"NY"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Sometimes not enough to eat",236278,"NY"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Sometimes not enough to eat",19466,"NY"
"Used in the last 7 days to meet spending needs*","Other","Sometimes not enough to eat",88968,"NY"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Sometimes not enough to eat",324051,"NY"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Sometimes not enough to eat",92775,"NY"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Sometimes not enough to eat",18129,"NY"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Sometimes not enough to eat",259227,"NY"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Sometimes not enough to eat",17172,"NY"
"Active duty military*","Did not report","Often not enough to eat",NA,"NY"
"Active duty military*","No active duty service (self or spouse)","Often not enough to eat",445325,"NY"
"Active duty military*","Serving in Reserve or National Guard","Often not enough to eat",NA,"NY"
"Active duty military*","Serving on active duty","Often not enough to eat",38106,"NY"
"Active duty military*","Spouse serving in Reserve or National Guard","Often not enough to eat",NA,"NY"
"Active duty military*","Spouse serving on active duty","Often not enough to eat",NA,"NY"
"Age","18 - 24","Often not enough to eat",NA,"NY"
"Age","25 - 39","Often not enough to eat",206429,"NY"
"Age","40 - 54","Often not enough to eat",105532,"NY"
"Age","55 - 64","Often not enough to eat",48143,"NY"
"Age","65 and above","Often not enough to eat",123327,"NY"
"Confidence in paying next rent or mortgage","Did not report","Often not enough to eat",175136,"NY"
"Confidence in paying next rent or mortgage","High confidence","Often not enough to eat",44187,"NY"
"Confidence in paying next rent or mortgage","Moderate confidence","Often not enough to eat",109339,"NY"
"Confidence in paying next rent or mortgage","No confidence","Often not enough to eat",94047,"NY"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Often not enough to eat",NA,"NY"
"Confidence in paying next rent or mortgage","Slight confidence","Often not enough to eat",60721,"NY"
"Covered by health insurance","Did not report or don’t know","Often not enough to eat",126389,"NY"
"Covered by health insurance","No","Often not enough to eat",127698,"NY"
"Covered by health insurance","Yes","Often not enough to eat",229344,"NY"
"Currently caught up on mortgage or rental payments","Did not report","Often not enough to eat",164495,"NY"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Often not enough to eat",10641,"NY"
"Currently caught up on mortgage or rental payments","No","Often not enough to eat",224962,"NY"
"Currently caught up on mortgage or rental payments","Yes","Often not enough to eat",83332,"NY"
"Difficulty hearing","A lot of difficulty","Often not enough to eat",10641,"NY"
"Difficulty hearing","Cannot do at all","Often not enough to eat",NA,"NY"
"Difficulty hearing","Did not report","Often not enough to eat",164495,"NY"
"Difficulty hearing","No difficulty","Often not enough to eat",218781,"NY"
"Difficulty hearing","Some difficulty","Often not enough to eat",89513,"NY"
"Difficulty remembering or concentrating","A lot of difficulty","Often not enough to eat",66236,"NY"
"Difficulty remembering or concentrating","Cannot do at all","Often not enough to eat",10641,"NY"
"Difficulty remembering or concentrating","Did not report","Often not enough to eat",164495,"NY"
"Difficulty remembering or concentrating","No difficulty","Often not enough to eat",75064,"NY"
"Difficulty remembering or concentrating","Some difficulty","Often not enough to eat",166995,"NY"
"Difficulty seeing","A lot of difficulty","Often not enough to eat",9108,"NY"
"Difficulty seeing","Cannot do at all","Often not enough to eat",10641,"NY"
"Difficulty seeing","Did not report","Often not enough to eat",164495,"NY"
"Difficulty seeing","No difficulty","Often not enough to eat",191437,"NY"
"Difficulty seeing","Some difficulty","Often not enough to eat",107750,"NY"
"Difficulty walking or climbing stairs","A lot of difficulty","Often not enough to eat",52111,"NY"
"Difficulty walking or climbing stairs","Cannot do at all","Often not enough to eat",10641,"NY"
"Difficulty walking or climbing stairs","Did not report","Often not enough to eat",164495,"NY"
"Difficulty walking or climbing stairs","No difficulty","Often not enough to eat",150972,"NY"
"Difficulty walking or climbing stairs","Some difficulty","Often not enough to eat",105212,"NY"
"Education","Bachelor’s degree or higher","Often not enough to eat",17720,"NY"
"Education","High school or GED","Often not enough to eat",169150,"NY"
"Education","Less than high school","Often not enough to eat",117465,"NY"
"Education","Some college/associate’s degree","Often not enough to eat",179096,"NY"
"Experienced loss of employment income in last 4 weeks","Did not report","Often not enough to eat",NA,"NY"
"Experienced loss of employment income in last 4 weeks","No","Often not enough to eat",342501,"NY"
"Experienced loss of employment income in last 4 weeks","Yes","Often not enough to eat",140930,"NY"
"Free groceries in last 7 days","Did not report","Often not enough to eat",NA,"NY"
"Free groceries in last 7 days","No","Often not enough to eat",435522,"NY"
"Free groceries in last 7 days","Yes","Often not enough to eat",47909,"NY"
"Frequency of feeling down, depressed, or hopeless","Did not report","Often not enough to eat",NA,"NY"
"Frequency of feeling down, depressed, or hopeless","More than half the days","Often not enough to eat",31070,"NY"
"Frequency of feeling down, depressed, or hopeless","Nearly every day","Often not enough to eat",169741,"NY"
"Frequency of feeling down, depressed, or hopeless","Not at all","Often not enough to eat",137712,"NY"
"Frequency of feeling down, depressed, or hopeless","Several days","Often not enough to eat",144908,"NY"
"Frequency of feeling nervous, anxious, on edge","Did not report","Often not enough to eat",NA,"NY"
"Frequency of feeling nervous, anxious, on edge","More than half the days","Often not enough to eat",NA,"NY"
"Frequency of feeling nervous, anxious, on edge","Nearly every day","Often not enough to eat",216360,"NY"
"Frequency of feeling nervous, anxious, on edge","Not at all","Often not enough to eat",216590,"NY"
"Frequency of feeling nervous, anxious, on edge","Several days","Often not enough to eat",50481,"NY"
"Frequency of having little interest or pleasure in doing things","Did not report","Often not enough to eat",NA,"NY"
"Frequency of having little interest or pleasure in doing things","More than half the days","Often not enough to eat",12991,"NY"
"Frequency of having little interest or pleasure in doing things","Nearly every day","Often not enough to eat",178464,"NY"
"Frequency of having little interest or pleasure in doing things","Not at all","Often not enough to eat",214780,"NY"
"Frequency of having little interest or pleasure in doing things","Several days","Often not enough to eat",77196,"NY"
"Frequency of not being able to stop or control worrying","Did not report","Often not enough to eat",NA,"NY"
"Frequency of not being able to stop or control worrying","More than half the days","Often not enough to eat",3580,"NY"
"Frequency of not being able to stop or control worrying","Nearly every day","Often not enough to eat",168767,"NY"
"Frequency of not being able to stop or control worrying","Not at all","Often not enough to eat",211200,"NY"
"Frequency of not being able to stop or control worrying","Several days","Often not enough to eat",99883,"NY"
"Gender","Cisgender female","Often not enough to eat",260043,"NY"
"Gender","Cisgender male","Often not enough to eat",168364,"NY"
"Gender","Did not report","Often not enough to eat",NA,"NY"
"Gender","None of these","Often not enough to eat",48747,"NY"
"Gender","Transgender","Often not enough to eat",6278,"NY"
"Hispanic origin and Race","Asian alone, not Hispanic","Often not enough to eat",13238,"NY"
"Hispanic origin and Race","Black alone, not Hispanic","Often not enough to eat",110033,"NY"
"Hispanic origin and Race","Hispanic or Latino (may be of any race)","Often not enough to eat",163853,"NY"
"Hispanic origin and Race","Two or more races + Other races, not Hispanic","Often not enough to eat",6278,"NY"
"Hispanic origin and Race","White alone, not Hispanic","Often not enough to eat",190030,"NY"
"Household income","$100,000 - $149,999","Often not enough to eat",NA,"NY"
"Household income","$150,000 - $199,999","Often not enough to eat",NA,"NY"
"Household income","$200,000 and above","Often not enough to eat",NA,"NY"
"Household income","$25,000 - $34,999","Often not enough to eat",12991,"NY"
"Household income","$35,000 - $49,999","Often not enough to eat",89056,"NY"
"Household income","$50,000 - $74,999","Often not enough to eat",38508,"NY"
"Household income","$75,000 - $99,999","Often not enough to eat",NA,"NY"
"Household income","Did not report","Often not enough to eat",202765,"NY"
"Household income","Less than $25,000","Often not enough to eat",140111,"NY"
"Household size","1 person in the household","Often not enough to eat",91656,"NY"
"Household size","2 people in the household","Often not enough to eat",125220,"NY"
"Household size","3 people in the household","Often not enough to eat",29784,"NY"
"Household size","4 people in the household","Often not enough to eat",217238,"NY"
"Household size","5 people in the household","Often not enough to eat",8892,"NY"
"Household size","6 people in the household","Often not enough to eat",NA,"NY"
"Household size","7 or more people in the household","Often not enough to eat",10641,"NY"
"Lesbian, Gay, Bisexual and Transgender","Did not report","Often not enough to eat",48199,"NY"
"Lesbian, Gay, Bisexual and Transgender","No","Often not enough to eat",267672,"NY"
"Lesbian, Gay, Bisexual and Transgender","Other","Often not enough to eat",148044,"NY"
"Lesbian, Gay, Bisexual and Transgender","Yes","Often not enough to eat",19516,"NY"
"Marital status","Did not report","Often not enough to eat",NA,"NY"
"Marital status","Divorced/separated","Often not enough to eat",167293,"NY"
"Marital status","Married","Often not enough to eat",118210,"NY"
"Marital status","Never married","Often not enough to eat",196304,"NY"
"Marital status","Widowed","Often not enough to eat",1623,"NY"
"Presence of children under 18 years old","Children in household","Often not enough to eat",124478,"NY"
"Presence of children under 18 years old","No children","Often not enough to eat",358953,"NY"
"Reason for not working","Did not report reason","Often not enough to eat",178806,"NY"
"Reason for not working","I am retired","Often not enough to eat",66111,"NY"
"Reason for not working","I did not have transportation to work","Often not enough to eat",NA,"NY"
"Reason for not working","I did not want to be employed at this time","Often not enough to eat",NA,"NY"
"Reason for not working","I was caring for an elderly person","Often not enough to eat",NA,"NY"
"Reason for not working","I was caring for children not in school or daycare","Often not enough to eat",7079,"NY"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Often not enough to eat",18984,"NY"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Often not enough to eat",NA,"NY"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Often not enough to eat",NA,"NY"
"Reason for not working","I was sick (not coronavirus related) or disabled","Often not enough to eat",34191,"NY"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Often not enough to eat",NA,"NY"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Often not enough to eat",NA,"NY"
"Reason for not working","Other reason","Often not enough to eat",178260,"NY"
"Received SNAP","Did not report","Often not enough to eat",NA,"NY"
"Received SNAP","No","Often not enough to eat",279478,"NY"
"Received SNAP","Yes","Often not enough to eat",203953,"NY"
"Respondent employed in the last 7 days","Did not report","Often not enough to eat",NA,"NY"
"Respondent employed in the last 7 days","No","Often not enough to eat",304625,"NY"
"Respondent employed in the last 7 days","Yes","Often not enough to eat",178806,"NY"
"Sex at birth","Female","Often not enough to eat",270684,"NY"
"Sex at birth","Male","Often not enough to eat",212747,"NY"
"Sexual orientation","Bisexual","Often not enough to eat",13238,"NY"
"Sexual orientation","Did not report","Often not enough to eat",48199,"NY"
"Sexual orientation","Gay or lesbian","Often not enough to eat",NA,"NY"
"Sexual orientation","I don’t know","Often not enough to eat",16187,"NY"
"Sexual orientation","Something else","Often not enough to eat",93751,"NY"
"Sexual orientation","Straight","Often not enough to eat",312056,"NY"
"Total","","Often not enough to eat",483431,"NY"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Often not enough to eat",193262,"NY"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Often not enough to eat",1813,"NY"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Often not enough to eat",171209,"NY"
"Used in the last 7 days to meet spending needs*","Did not report","Often not enough to eat",38106,"NY"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Often not enough to eat",41899,"NY"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Often not enough to eat",186706,"NY"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Often not enough to eat",20676,"NY"
"Used in the last 7 days to meet spending needs*","Other","Often not enough to eat",17720,"NY"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Often not enough to eat",191228,"NY"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Often not enough to eat",1813,"NY"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Often not enough to eat",115290,"NY"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Often not enough to eat",148674,"NY"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Often not enough to eat",86690,"NY"
"Active duty military*","Did not report","Did not report",107018,"NY"
"Active duty military*","No active duty service (self or spouse)","Did not report",2499082,"NY"
"Active duty military*","Serving in Reserve or National Guard","Did not report",NA,"NY"
"Active duty military*","Serving on active duty","Did not report",NA,"NY"
"Active duty military*","Spouse serving in Reserve or National Guard","Did not report",10900,"NY"
"Active duty military*","Spouse serving on active duty","Did not report",NA,"NY"
"Age","18 - 24","Did not report",347048,"NY"
"Age","25 - 39","Did not report",528929,"NY"
"Age","40 - 54","Did not report",894596,"NY"
"Age","55 - 64","Did not report",408370,"NY"
"Age","65 and above","Did not report",438058,"NY"
"Confidence in paying next rent or mortgage","Did not report","Did not report",2602648,"NY"
"Confidence in paying next rent or mortgage","High confidence","Did not report",4251,"NY"
"Confidence in paying next rent or mortgage","Moderate confidence","Did not report",10101,"NY"
"Confidence in paying next rent or mortgage","No confidence","Did not report",NA,"NY"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Did not report",NA,"NY"
"Confidence in paying next rent or mortgage","Slight confidence","Did not report",NA,"NY"
"Covered by health insurance","Did not report or don’t know","Did not report",2585283,"NY"
"Covered by health insurance","No","Did not report",14883,"NY"
"Covered by health insurance","Yes","Did not report",16835,"NY"
"Currently caught up on mortgage or rental payments","Did not report","Did not report",2585283,"NY"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Did not report",2483,"NY"
"Currently caught up on mortgage or rental payments","No","Did not report",NA,"NY"
"Currently caught up on mortgage or rental payments","Yes","Did not report",29235,"NY"
"Difficulty hearing","A lot of difficulty","Did not report",NA,"NY"
"Difficulty hearing","Cannot do at all","Did not report",NA,"NY"
"Difficulty hearing","Did not report","Did not report",2585283,"NY"
"Difficulty hearing","No difficulty","Did not report",19134,"NY"
"Difficulty hearing","Some difficulty","Did not report",12583,"NY"
"Difficulty remembering or concentrating","A lot of difficulty","Did not report",NA,"NY"
"Difficulty remembering or concentrating","Cannot do at all","Did not report",NA,"NY"
"Difficulty remembering or concentrating","Did not report","Did not report",2595384,"NY"
"Difficulty remembering or concentrating","No difficulty","Did not report",14883,"NY"
"Difficulty remembering or concentrating","Some difficulty","Did not report",6734,"NY"
"Difficulty seeing","A lot of difficulty","Did not report",NA,"NY"
"Difficulty seeing","Cannot do at all","Did not report",NA,"NY"
"Difficulty seeing","Did not report","Did not report",2570555,"NY"
"Difficulty seeing","No difficulty","Did not report",42194,"NY"
"Difficulty seeing","Some difficulty","Did not report",4251,"NY"
"Difficulty walking or climbing stairs","A lot of difficulty","Did not report",NA,"NY"
"Difficulty walking or climbing stairs","Cannot do at all","Did not report",NA,"NY"
"Difficulty walking or climbing stairs","Did not report","Did not report",2585283,"NY"
"Difficulty walking or climbing stairs","No difficulty","Did not report",31717,"NY"
"Difficulty walking or climbing stairs","Some difficulty","Did not report",NA,"NY"
"Education","Bachelor’s degree or higher","Did not report",498056,"NY"
"Education","High school or GED","Did not report",1242347,"NY"
"Education","Less than high school","Did not report",146187,"NY"
"Education","Some college/associate’s degree","Did not report",730410,"NY"
"Experienced loss of employment income in last 4 weeks","Did not report","Did not report",411568,"NY"
"Experienced loss of employment income in last 4 weeks","No","Did not report",1935722,"NY"
"Experienced loss of employment income in last 4 weeks","Yes","Did not report",269711,"NY"
"Free groceries in last 7 days","Did not report","Did not report",2585283,"NY"
"Free groceries in last 7 days","No","Did not report",31717,"NY"
"Free groceries in last 7 days","Yes","Did not report",NA,"NY"
"Frequency of feeling down, depressed, or hopeless","Did not report","Did not report",2595384,"NY"
"Frequency of feeling down, depressed, or hopeless","More than half the days","Did not report",NA,"NY"
"Frequency of feeling down, depressed, or hopeless","Nearly every day","Did not report",NA,"NY"
"Frequency of feeling down, depressed, or hopeless","Not at all","Did not report",17365,"NY"
"Frequency of feeling down, depressed, or hopeless","Several days","Did not report",4251,"NY"
"Frequency of feeling nervous, anxious, on edge","Did not report","Did not report",2570555,"NY"
"Frequency of feeling nervous, anxious, on edge","More than half the days","Did not report",13455,"NY"
"Frequency of feeling nervous, anxious, on edge","Nearly every day","Did not report",NA,"NY"
"Frequency of feeling nervous, anxious, on edge","Not at all","Did not report",32093,"NY"
"Frequency of feeling nervous, anxious, on edge","Several days","Did not report",897,"NY"
"Frequency of having little interest or pleasure in doing things","Did not report","Did not report",2585283,"NY"
"Frequency of having little interest or pleasure in doing things","More than half the days","Did not report",NA,"NY"
"Frequency of having little interest or pleasure in doing things","Nearly every day","Did not report",NA,"NY"
"Frequency of having little interest or pleasure in doing things","Not at all","Did not report",27466,"NY"
"Frequency of having little interest or pleasure in doing things","Several days","Did not report",4251,"NY"
"Frequency of not being able to stop or control worrying","Did not report","Did not report",2585283,"NY"
"Frequency of not being able to stop or control worrying","More than half the days","Did not report",NA,"NY"
"Frequency of not being able to stop or control worrying","Nearly every day","Did not report",NA,"NY"
"Frequency of not being able to stop or control worrying","Not at all","Did not report",21617,"NY"
"Frequency of not being able to stop or control worrying","Several days","Did not report",10101,"NY"
"Gender","Cisgender female","Did not report",1264003,"NY"
"Gender","Cisgender male","Did not report",1067241,"NY"
"Gender","Did not report","Did not report",224722,"NY"
"Gender","None of these","Did not report",6072,"NY"
"Gender","Transgender","Did not report",54962,"NY"
"Hispanic origin and Race","Asian alone, not Hispanic","Did not report",407722,"NY"
"Hispanic origin and Race","Black alone, not Hispanic","Did not report",324633,"NY"
"Hispanic origin and Race","Hispanic or Latino (may be of any race)","Did not report",569086,"NY"
"Hispanic origin and Race","Two or more races + Other races, not Hispanic","Did not report",52818,"NY"
"Hispanic origin and Race","White alone, not Hispanic","Did not report",1262741,"NY"
"Household income","$100,000 - $149,999","Did not report",NA,"NY"
"Household income","$150,000 - $199,999","Did not report",NA,"NY"
"Household income","$200,000 and above","Did not report",897,"NY"
"Household income","$25,000 - $34,999","Did not report",3354,"NY"
"Household income","$35,000 - $49,999","Did not report",2483,"NY"
"Household income","$50,000 - $74,999","Did not report",NA,"NY"
"Household income","$75,000 - $99,999","Did not report",NA,"NY"
"Household income","Did not report","Did not report",2610266,"NY"
"Household income","Less than $25,000","Did not report",NA,"NY"
"Household size","1 person in the household","Did not report",191433,"NY"
"Household size","2 people in the household","Did not report",664662,"NY"
"Household size","3 people in the household","Did not report",576974,"NY"
"Household size","4 people in the household","Did not report",407207,"NY"
"Household size","5 people in the household","Did not report",482270,"NY"
"Household size","6 people in the household","Did not report",125032,"NY"
"Household size","7 or more people in the household","Did not report",169423,"NY"
"Lesbian, Gay, Bisexual and Transgender","Did not report","Did not report",316832,"NY"
"Lesbian, Gay, Bisexual and Transgender","No","Did not report",2084635,"NY"
"Lesbian, Gay, Bisexual and Transgender","Other","Did not report",136151,"NY"
"Lesbian, Gay, Bisexual and Transgender","Yes","Did not report",79383,"NY"
"Marital status","Did not report","Did not report",68335,"NY"
"Marital status","Divorced/separated","Did not report",264733,"NY"
"Marital status","Married","Did not report",1255409,"NY"
"Marital status","Never married","Did not report",882876,"NY"
"Marital status","Widowed","Did not report",145649,"NY"
"Presence of children under 18 years old","Children in household","Did not report",961360,"NY"
"Presence of children under 18 years old","No children","Did not report",1655640,"NY"
"Reason for not working","Did not report reason","Did not report",1687998,"NY"
"Reason for not working","I am retired","Did not report",417033,"NY"
"Reason for not working","I did not have transportation to work","Did not report",NA,"NY"
"Reason for not working","I did not want to be employed at this time","Did not report",64853,"NY"
"Reason for not working","I was caring for an elderly person","Did not report",NA,"NY"
"Reason for not working","I was caring for children not in school or daycare","Did not report",73329,"NY"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Did not report",52740,"NY"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Did not report",35269,"NY"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Did not report",29611,"NY"
"Reason for not working","I was sick (not coronavirus related) or disabled","Did not report",80689,"NY"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Did not report",NA,"NY"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Did not report",NA,"NY"
"Reason for not working","Other reason","Did not report",175480,"NY"
"Received SNAP","Did not report","Did not report",2522951,"NY"
"Received SNAP","No","Did not report",90695,"NY"
"Received SNAP","Yes","Did not report",3354,"NY"
"Respondent employed in the last 7 days","Did not report","Did not report",427879,"NY"
"Respondent employed in the last 7 days","No","Did not report",1324146,"NY"
"Respondent employed in the last 7 days","Yes","Did not report",864976,"NY"
"Sex at birth","Female","Did not report",1431575,"NY"
"Sex at birth","Male","Did not report",1185425,"NY"
"Sexual orientation","Bisexual","Did not report",NA,"NY"
"Sexual orientation","Did not report","Did not report",175173,"NY"
"Sexual orientation","Gay or lesbian","Did not report",59690,"NY"
"Sexual orientation","I don’t know","Did not report",127927,"NY"
"Sexual orientation","Something else","Did not report",7117,"NY"
"Sexual orientation","Straight","Did not report",2247094,"NY"
"Total","","Did not report",2617000,"NY"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Did not report",NA,"NY"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Did not report",NA,"NY"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Did not report",19517,"NY"
"Used in the last 7 days to meet spending needs*","Did not report","Did not report",2583709,"NY"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Did not report",NA,"NY"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Did not report",7989,"NY"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Did not report",3354,"NY"
"Used in the last 7 days to meet spending needs*","Other","Did not report",NA,"NY"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Did not report",29938,"NY"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Did not report",NA,"NY"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Did not report",3354,"NY"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Did not report",NA,"NY"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Did not report",NA,"NY"
"Active duty military*","Did not report","Enough of the kinds of food wanted",10932,"NC"
"Active duty military*","No active duty service (self or spouse)","Enough of the kinds of food wanted",4051058,"NC"
"Active duty military*","Serving in Reserve or National Guard","Enough of the kinds of food wanted",2339,"NC"
"Active duty military*","Serving on active duty","Enough of the kinds of food wanted",53640,"NC"
"Active duty military*","Spouse serving in Reserve or National Guard","Enough of the kinds of food wanted",2929,"NC"
"Active duty military*","Spouse serving on active duty","Enough of the kinds of food wanted",90047,"NC"
"Age","18 - 24","Enough of the kinds of food wanted",295977,"NC"
"Age","25 - 39","Enough of the kinds of food wanted",1049019,"NC"
"Age","40 - 54","Enough of the kinds of food wanted",933501,"NC"
"Age","55 - 64","Enough of the kinds of food wanted",796169,"NC"
"Age","65 and above","Enough of the kinds of food wanted",1133941,"NC"
