Question,Characteristics,US1,US2,US3,US4,US5,AL1,AL2,AL4,AL4,AL5,AK1,AK2,AK3,AK4,AK5,AZ1,AZ2,AZ3,AZ4,AZ5,AR1,AR2,AR3,AR4,AR5,CA1,CA2,CA3,CA4,CA5,CO1,CO2,CO3,CO4,CO5,CT1,CT2,CT3,CT4,CT5,DE1,DE2,DE3,DE4,DE5,DC1,DC2,DC3,DC4,DC5,FL1,FL2,FL3,FL4,FL5,GA1,GA2,GA3,GA4,GA5,HI1,HI2,HI3,HI4,HI5,ID1,ID2,ID3,ID4,ID5,IL1,IL2,IL3,IL4,IL5,IN1,IN2,IN3,IN4,IN5,IA1,IA2,IA3,IA4,IA5,KS1,KS2,KS3,KS4,KS5,KY1,KY2,KY3,KY4,KY5,LA1,LA2,LA3,LA4,LA5,ME1,ME2,ME3,ME4,ME5,MD1,MD2,MD3,MD4,MD5,MA1,MA2,MA3,MA4,MA5,MI1,MI2,MI3,MI4,MI5,MN1,MN2,MN3,MN4,MN5,MS1,MS2,MS3,MS4,MS5,MO1,MO2,MO3,MO4,MO5,MT1,MT2,MT3,MT4,MT5,NE1,NE2,NE3,NE4,NE5,NV1,NV2,NV3,NV4,NV5,NH1,NH2,NH3,NH4,NH5,NJ1,NJ2,NJ3,NJ4,NJ5,NM1,NM2,NM3,NM4,NM5,NY1,NY2,NY3,NY4,NY5,NC1,NC2,NC3,NC4,NC5,ND1,ND2,ND3,ND4,ND5,OH1,OH2,OH3,OH4,OH5,OK1,OK2,OK3,OK4,OK5,OR1,OR2,OR3,OR4,OR5,PA1,PA2,PA3,PA4,PA5,RI1,RI2,RI3,RI4,RI5,SC1,SC2,SC3,SC4,SC5,SD1,SD2,SD3,SD4,SD5,TN1,TN2,TN3,TN4,TN5,TX1,TX2,TX3,TX4,TX5,UT1,UT2,UT3,UT4,UT5,VT1,VT2,VT3,VT4,VT5,VA1,VA2,VA3,VA4,VA5,WA1,WA2,WA3,WA4,WA5,WV1,WV2,WV3,WV4,WV5,WI1,WI2,WI3,WI4,WI5,WY1,WY2,WY3,WY4,WY5,METRO1,METRO2,METRO3,METRO4,METRO5
Reason for not working,I was caring for someone or sick myself with coronavirus symptoms,600258,578305,618818,220308,373703,8569,8260,5445,,10124,2004,491,2017,,2261,3166,9919,6811,,2536,2819,10503,1820,,,86800,199142,145178,58362,50286,6267,,12354,,,5571,9745,5875,2049,2627,2292,962,,7672,,,,,,966,122597,43967,51208,860,5255,16052,4194,19423,2541,,2866,962,,3501,,3122,581,6567,,,15070,7925,4393,7036,19149,25464,,29238,20121,17085,4990,1275,1233,,2051,8427,5458,1140,1106,1664,6181,534,9795,,,11688,9646,,,,,,1701,1432,1030,,,11090,,,2664,11507,1641,3605,1171,1458,1795,2452,18868,2972,6750,,,,4458,3804,4487,10876,3804,24051,15354,,7584,10399,10307,481,7809,1670,,,1186,4475,6030,935,449,1024,10974,7332,,,,,,,,19228,9292,681,,24150,6096,,10599,,2438,26334,49575,7254,18984,52740,6651,2406,66627,,,,,,,,12154,3708,14939,,,1585,1158,1680,3039,14609,5619,42645,,6184,1231,,,77089,,43454,,3758,4420,,,10250,4526,1048,,,2348,,616,,3064,7164,6927,18963,4318,16135,103211,54752,30694,44026,39613,1203,1066,3004,,302,2851,1054,1489,,594,,3149,4852,,3443,22971,22175,953,1466,5096,499,758,5267,,,3606,14312,12569,,8218,1823,2435,3200,,176,9830,38422,7254,18984,71163
Reason for not working,I was concerned about getting or spreading the coronavirus,602646,432845,520400,91032,202094,2664,,,,,1532,253,657,,73,7800,14682,5369,,,5019,2844,,,,56286,97897,179971,11029,3902,24205,2658,4776,,,2856,3058,603,,,920,4395,,,,2855,,2231,,,31596,24510,177359,,13010,22352,36286,22469,,14235,3792,1469,,,,,,392,,,23136,11460,,1077,4607,,8057,4964,,22593,1512,,12125,,,3332,495,3499,14098,3696,1659,25736,534,3264,10412,22870,,2920,,4269,969,4315,,388,,15641,11701,,,23026,7483,4831,820,,4183,24807,1819,7583,5981,,18484,1048,,,2016,,16152,1776,,,9026,2679,7916,,856,228,986,,,,,,,,864,3420,957,,,3182,482,4858,606,,2482,2004,,,1181,16167,12984,10132,4447,,5767,125137,13208,12702,,35269,42349,7987,,,,192,,833,,1874,1793,,4949,28263,,6569,5910,,,,9860,8429,,1480,,11838,21669,5866,17114,2474,1288,354,439,891,,,5694,5140,,,1957,1051,,,175,7331,,,3209,,62991,33146,42167,3056,15059,1371,14178,,,1619,,305,,,,7419,2505,1029,,,6708,5572,1960,,1964,1209,3720,2942,,,4722,15039,,,8320,,801,1354,,,30058,4611,,,51436
Reason for not working,I was laid off or furloughed due to coronavirus pandemic,989292,1076672,377475,247675,247420,14358,17001,,,2318,1748,6864,1647,,,12283,21766,10099,41774,,,1595,4340,,,170150,68289,17976,5460,33730,12650,20416,,,,19759,8854,,6306,1564,2425,10626,12661,,1716,700,,2698,,1115,54259,151179,67404,15488,1302,4143,19171,11173,,14078,20240,2877,2265,,715,1784,1617,606,,370,128235,141520,16696,,10983,14600,4420,,,,3162,6669,,,,3312,1903,8595,12458,,2029,12140,,5073,,2266,34652,,,,,7844,388,2220,,14075,652,1407,6766,,4838,11325,9014,2707,17040,31036,7610,4318,14478,4334,23790,12847,5414,,,,42803,14205,18403,9454,14873,,2861,9161,2623,1438,481,,,464,5641,3944,4379,4068,,10345,40971,24880,,371,1033,494,2745,4163,471,26427,40496,2505,13394,23222,5856,14961,,20360,,139207,38277,21822,,29611,5530,7581,1439,19356,29119,410,,,,,48646,110462,2081,2988,,2203,4925,13278,,14000,6951,2579,1251,13560,,28482,8066,4168,,2627,1831,,2843,,,17345,4641,17684,10447,2891,,1533,,,207,2179,13799,6905,,,72474,137493,35243,9893,25273,2380,531,,,242,1573,1318,,250,2135,15623,8826,16943,,,20382,18127,9701,8900,7174,812,1991,8880,,,12735,,6958,,6926,3075,535,,,1346,79875,48386,12398,13394,52833
Reason for not working,I was sick (not coronavirus related) or disabled,2411409,2482016,1703461,675901,994428,73763,60219,31029,41599,23027,5793,4534,4308,567,1522,69572,61549,26212,4808,21261,8055,34027,24311,7537,13084,202048,184738,85146,33199,112240,30495,26933,12096,21651,1213,15009,9792,8583,26099,17117,2626,5560,3237,,2962,4834,3325,702,,522,199078,140675,14786,249225,160384,60481,150583,50205,18688,31012,,10448,260,,,18165,26238,4984,613,3636,71317,140593,37932,14972,11557,48781,48512,7472,5796,31075,25208,16439,9876,8551,1787,7537,17919,24192,,3598,37754,60208,35035,4020,10453,39948,58157,15674,,10528,8208,25799,8503,1553,1804,8628,56533,29284,7064,,73922,27824,28923,7722,29174,110470,57338,99161,22477,15197,27545,42608,1087,17261,21779,18948,39761,31774,1633,2350,28514,40104,24062,12141,4933,4058,11488,4892,357,1119,15434,3243,6521,2583,4054,23052,20135,12431,888,18020,8176,13613,3606,,1285,27782,149346,30537,15511,4522,25525,27105,14552,1925,24316,182394,81130,142414,34191,80689,61360,59894,21406,,44418,2512,605,,164,783,97589,48407,77603,15018,37990,93831,55248,10690,,6388,20019,33842,7569,4963,26945,59010,66048,133414,3536,33858,10733,7109,2743,,,53439,50358,16221,9205,,1711,7328,,,1976,92506,102678,12457,23911,3452,194158,178630,427456,28874,91895,34578,23370,3151,7592,3085,2050,2864,5182,1516,2403,56037,77044,34990,7749,24301,87271,33603,19432,4279,19579,16576,41773,36064,,10392,42166,34556,57221,6462,19397,2744,2182,4077,,1347,130306,163025,103609,40594,85210
Reason for not working,My employer closed temporarily due to the coronavirus pandemic,474199,258357,209987,91837,266983,,7822,,,,213,222,617,,735,7100,,28105,,8203,,,,,,175371,61451,26504,2280,114785,,,5763,,,8236,5396,,,751,3206,,1045,,,522,416,,,,23677,23689,612,,41452,7302,,7758,7117,,7687,755,20025,,,1260,,,,,,,,10919,3583,7504,21262,,,,,,,,,,,,,1829,,,,,,,1234,,38799,,760,,,,,1913,,31769,7369,6182,12018,1262,7670,,12622,21215,,8466,,16317,6811,850,,,,12287,,,,,,14096,,2047,6821,,,,1285,,,,,1191,,,1914,731,1611,,,1587,,,,36610,29807,36967,,,646,,535,,,6139,,,,,3625,3401,2733,,23466,500,,,,,4251,53964,,,,8730,3395,,6479,,3115,3034,,,,71367,,,699,2474,,,,668,,,,2263,,,,2197,997,,,3473,,,,,36171,14425,18249,10695,13847,,,,,,198,,,,,,,,,,2289,6178,2959,,1820,,,,,,,,6219,,12097,,,,677,,22060,29807,21773,,
Reason for not working,My employer went out of business due to the coronavirus pandemic,277674,505922,395053,91866,182190,,,,,,107,275,184,802,,3670,1243,6851,,20171,5717,10911,1581,,,58901,44051,2820,25782,9305,2061,48931,5518,535,7944,1071,4422,,,704,,,1561,212,1509,,164,,,,1167,91830,67932,,11189,6558,3101,18407,,2551,1430,,5116,,,392,463,4346,,4353,8324,,,37069,,,,1725,,21304,956,1309,,,,5443,5956,,,,,5429,,,,,3432,4777,,12807,460,,,,,8599,41410,,2926,8226,,3471,642,,3369,,1671,22335,,,,14921,,,,3552,3390,,1902,,28635,15402,,6779,4674,221,481,,,553,3275,,1331,,10975,750,6781,3098,,,,427,,,,3579,13976,13219,,10844,,,2112,,804,27466,73268,71530,,,16272,,1420,,,1602,1250,302,493,,4846,19330,25694,,,1538,11355,,,8446,2553,3673,687,,6931,,25948,51457,,15549,,,,,,,,,,,169,,,,,3209,,,,,,31981,40767,,15711,,1081,,,,1512,237,,,1489,20333,3428,29381,6216,2783,16148,5306,10260,3865,,21413,2788,,5286,,15606,2655,,,,135,175,,,,5056,53315,84749,,10844
Reason for not working,Other reason,7715628,4912870,2433781,893399,3771822,83489,155679,77144,6270,23260,22712,12216,4903,4120,9664,149537,190838,60337,42310,104464,48623,59460,31367,18998,16398,1541322,389587,201344,99670,507546,108948,47970,16090,11889,5829,69274,41707,29625,5578,51162,14157,13826,8215,,13480,13291,5765,1409,1292,179,319923,477106,254402,26528,366629,203744,146022,86584,13269,86378,29105,62929,3387,,15626,40689,18424,8631,7382,15881,306359,203135,139126,11585,180555,137033,54814,24169,10882,140830,63151,56823,37497,2647,38111,49072,26701,19927,7471,14157,93463,60213,59158,11474,63735,70023,76253,23284,26080,10749,28068,8023,5919,3669,5482,177592,63261,13855,12456,17351,151833,83175,46836,16137,52178,169473,170055,28233,34180,149004,153255,55152,699,18312,71845,66905,45504,34945,15540,13754,148354,69166,24563,20459,103440,29847,7404,9904,6424,7697,43695,15970,10104,9682,22145,74936,93797,24046,2925,28611,32448,11958,9896,4467,6620,205419,158996,46292,,86617,77378,23079,24562,499,56231,572342,201236,91776,178260,175480,196823,108821,73590,32543,149751,7962,9693,4052,3928,9372,372780,187479,93347,41063,90726,72863,65873,23513,5609,33372,140152,59602,28239,4176,49247,208368,255009,52454,47577,231123,27972,8766,3702,,8842,76889,54020,23829,3346,40387,15368,5696,2145,4101,4244,108161,118330,80900,27361,65136,611391,503429,423579,11832,367303,86030,48388,14760,4161,12013,18339,10498,2784,366,6868,173549,93561,17956,33399,104888,203496,175407,46635,37540,93176,36625,36547,20466,2311,12474,55781,48885,63093,3109,29309,7618,16620,509,521,2502,605986,148725,97483,80769,168557
Received SNAP,Did not report,1862280,1004607,285106,102353,39470607,35988,,10124,,579960,3043,253,1144,,59853,109798,17413,4664,,713901,19985,5480,,,386515,312338,219207,19842,15384,4470256,21669,14038,,,598399,5264,20615,3106,2315,466549,3670,6988,3403,,101454,5917,1395,,,31055,143756,77183,24210,,3136849,13294,19124,,2262,1378483,15000,3177,,,119260,22827,5073,290,502,169633,43629,21809,4982,,1502882,24058,3808,,5796,939892,13394,922,15156,7959,337730,15447,11368,,3499,327366,16241,12971,3701,,621679,22331,46183,1912,,759276,6177,,,,113137,24173,13996,2493,,454973,57940,20604,18233,7955,822539,54496,5357,,3530,1292495,22470,12471,,15153,548753,,4712,,,326943,58801,21741,35646,31352,618482,8189,4201,,,75535,5831,6765,2896,,223314,14212,15620,3658,888,371136,4920,1223,441,,110941,71682,32212,1902,,1270251,11885,4071,3036,,263305,26843,34163,61899,,2522951,35639,62701,,,1434793,2930,840,,822,76034,163270,5421,,,1033131,11338,5215,2673,2100,403032,17060,6933,,,407205,89725,33006,,1329,1634351,2768,3513,,1176,132067,21042,15672,3430,,810155,4458,,,,71037,36793,19620,13857,,848950,100056,120717,24193,,4035691,16393,3279,,330,252296,4540,1485,,,52205,27882,28682,,,983854,43063,20655,830,,663036,32718,2853,,,231967,33021,2078,16318,,608773,4316,7793,1067,,76283,81453,33704,61899,,2644430
Received SNAP,No,122218628,43638389,12183987,3935149,1019833,1697820,800264,202680,122743,5842,291141,100864,19979,9902,234,2711183,959002,312696,81129,52541,1054937,425370,100949,48822,1100,14619772,4440181,1549304,274665,72607,2469332,790261,210434,78123,,1507077,365239,78943,49929,7817,386568,166681,44597,6379,2063,297386,38231,30841,22169,1180,7246663,3329919,1106169,299715,16247,3371109,1456859,505456,136434,22978,477906,228091,62179,7722,9849,758585,292385,102715,18469,5732,4336720,1920042,318663,179342,9965,2658935,788397,269124,88701,35023,1286650,419244,78093,17726,1008,1100919,416239,114507,27095,10826,1533240,657991,205635,59261,13833,1064673,667167,137181,180689,37387,591425,213365,48974,8303,6059,2529248,731580,198586,59994,12580,2705004,776742,143792,41762,38798,3755375,1227785,339255,132354,17403,2523891,717531,171170,30040,26382,856203,533584,106118,75212,13892,2475337,740778,162746,121177,22349,485802,142303,60669,17214,2828,776011,255319,62240,24504,6928,1041705,460270,139468,42247,6919,634776,218408,73103,6760,6815,3773530,1108633,248270,70105,67705,635875,258516,115630,30603,11981,7062574,2531469,584435,279478,90695,3728331,1238140,465871,160817,62103,303832,116864,23064,19740,2067,4573147,1468775,463280,140518,26453,1311933,669674,179095,47002,19143,1733822,508465,92588,62557,15745,4845353,1584075,416762,127432,25890,441104,138156,37662,2110,6554,1959070,737077,70589,61263,23689,374212,136462,21176,12385,415,2513341,1123181,234898,135653,14699,10043532,3913362,1320162,263225,121295,1366968,552739,101274,18211,1610,284276,76306,28915,11992,3510,3498827,1072343,296437,64413,16731,3334665,992675,214867,81467,21380,486930,323510,86647,4346,8856,2491195,723882,208386,68472,6925,210718,83996,17713,4777,5203,7369434,2165886,683835,266305,133243
Received SNAP,Yes,10149498,9159461,5566499,1627823,256791,97488,144570,117291,17469,2218,18556,15578,7222,3564,,268253,217703,136823,52776,,33929,131923,38053,23566,615,1360208,1305083,779411,175713,24205,149762,119904,55168,5285,,102977,93319,48763,34171,2404,26213,14570,17322,5438,,37103,13704,9548,2263,,435443,894549,339887,302150,,472662,380252,341548,31913,,87203,68588,15659,,,30810,30680,14277,3917,,441987,425734,269052,68875,7441,112367,109285,37431,10361,,57507,100811,42723,4596,,29320,60965,30400,22521,,77943,105214,40217,42675,1360,179777,143937,179020,2398,2785,36927,50864,22420,4057,,323747,234345,79977,4666,13424,339268,226220,151701,20912,7740,380184,261592,200417,44103,4399,83483,80250,32789,22859,5380,61535,110450,88306,5437,,133474,93651,79700,68643,,24538,28254,12591,2514,,27733,34018,16080,2405,,76667,146040,117667,879,11862,19768,19427,7396,6028,,139955,189934,87830,29855,,128475,84686,61336,3413,1219,922003,375858,296817,203953,3354,444636,296376,166819,5524,11267,3813,6430,7685,1138,,477105,417378,101257,42563,,128315,116895,49301,13861,,224107,181333,54860,22246,,436653,314476,352637,52401,6073,50460,21709,9092,3434,416,132555,60901,115785,13596,,17814,10197,7157,1557,,152550,139467,91620,34068,,529426,543808,605188,105524,150626,46689,19181,27562,4479,,19104,19377,1232,6018,,238148,234231,60266,44474,,278946,229286,76775,13584,,48906,108756,35339,11865,,197627,112923,24825,20448,,5378,14776,4259,1668,,689960,273980,109883,152842,3354
Respondent employed in the last 7 days,Did not report,476395,325036,65655,30294,8116538,1647,,,,129016,590,1941,2017,,11889,9772,2381,,7106,93172,16888,2255,,,132167,20278,31273,20199,,958114,1200,11084,,,163722,2464,686,,,82526,901,6462,,,19245,,,530,,4279,6907,56553,5406,1572,567133,16504,3405,,,323825,802,,,,16800,1445,3337,,,49091,28403,,,,292638,5003,,1510,,184144,6250,8235,,,44342,9297,,,,68263,1265,4492,,,139975,,,,,137743,2060,,3935,,30960,17874,3994,,,84792,602,13900,8046,,158550,1784,1281,,,231237,,10929,,,82933,9859,,,,79996,5404,,13391,6821,129388,455,357,,,12901,3331,7971,,,40414,1952,,,10974,93927,4469,,,,10776,57391,11699,,,277984,3399,5518,,,49726,27093,67758,,,427879,12135,9055,,,300113,2635,,,,20796,13552,10241,,,272147,15767,2751,,2100,86492,13158,,456,,61992,6297,4123,6690,,386310,709,,1337,,28232,210,975,,,224575,175,,,,11479,53402,13817,,,163547,44902,4092,1582,,941122,8276,5572,,,59225,1066,237,,,6173,10767,15603,,1721,180810,18914,3057,556,,109551,422,,,,62192,8546,,,,58209,173,,,,14025,84175,59133,,,501920
Respondent employed in the last 7 days,No,50105739,21863108,9261577,3269674,16939897,692556,424791,205705,71759,223100,122149,46144,16584,8810,28478,1314364,520233,240073,101827,400034,371197,290909,88686,34498,131753,6392975,2593964,1018007,313947,1774844,852423,339730,125844,56083,191882,566397,193139,61899,61062,178522,196463,69581,37905,8221,48614,79639,25080,14080,21593,13657,3547695,1860204,819494,357986,1574928,1387934,732539,387966,65948,390729,254318,155019,36795,3501,27742,310542,109027,33372,13918,57870,1908010,1069014,324100,122808,568496,1006534,339148,155777,46329,375636,466194,210246,72937,18036,129648,376756,155290,77676,42814,100097,620386,401038,143801,57767,218381,508534,392481,124209,97822,321403,210984,100282,39909,9262,46942,1008769,303820,130154,54440,216181,897951,314407,154337,50337,397137,1617579,576128,298933,150150,504979,958483,255034,40706,42002,258453,353974,298276,141258,45350,127522,998687,289210,102581,99053,286699,172086,66106,23227,8515,25875,273822,75657,42721,20701,101363,463785,303014,131847,15897,179096,237273,85374,29066,9322,45035,1410412,601266,163530,33580,628677,367732,172578,117795,28665,144987,3046550,1163971,469822,304625,1324146,1569627,627025,280913,97414,498160,97767,28258,14073,5463,23201,2060684,892117,286114,149352,402577,601959,364204,112005,22706,162348,711881,283140,72240,34461,205615,1896552,772153,440148,98955,750572,175179,62612,22744,1824,41443,823103,296340,94662,38187,265610,114888,52814,5036,4271,24709,967421,483569,188183,77927,415879,3572993,1656315,1235841,148565,1792624,448791,189732,32055,14517,88364,114606,34357,9882,5745,29753,1314343,418674,191902,83076,505043,1377435,565609,146676,65929,317978,247399,208029,91663,12534,76821,934630,359160,154561,30111,250454,83326,36298,12081,2011,45840,2746737,876753,362352,227677,1488701
Respondent employed in the last 7 days,Yes,83648271,31614313,8708360,2365357,15690797,1137094,520043,124390,68453,235905,190001,68610,9744,4656,19720,1765097,671504,214110,24972,273236,720767,269608,50317,37890,124310,9879064,3339235,1310351,151815,1834110,1787138,573388,139758,27325,242795,1046457,285347,68914,25352,215723,219086,112196,27417,3596,35658,260766,28250,25778,2839,14299,4271260,2384894,645366,242306,1011036,2452627,1120291,459038,104661,686907,324988,144838,41043,4221,84568,500234,215775,83910,8970,68404,2885922,1298570,268596,125409,659154,1783823,562342,149268,58529,415135,885108,302496,63035,12245,164749,759633,333282,67231,10301,169832,1005772,370646,105752,44169,278517,758247,464806,193904,85265,340302,421485,163947,27549,3098,41294,1850526,672108,150902,10221,180004,2203660,695258,151344,20291,313391,2570693,917325,240738,29837,578081,1671360,544289,163253,26051,239129,553906,350470,53166,35299,133317,1663521,566959,162120,115299,224744,345987,108295,50033,11213,39587,532422,212474,38495,6208,88464,666846,318916,128946,17144,116894,417721,153684,51874,3466,61944,2517364,717814,174473,66380,431295,405105,169177,62207,5351,81792,4937777,1709760,473329,178806,864976,2626845,961137,351777,68927,709889,210172,95876,16675,16237,34105,3139287,989216,278422,33730,384859,833860,424830,119063,38157,173334,1249950,413591,74752,50342,155343,3468883,1155281,322561,82208,529432,318444,100765,22673,4896,69362,1289354,516335,95143,36673,343659,281421,93845,23297,9671,35263,1681862,784882,152192,91793,284222,7055119,2917479,712121,220185,1573866,972983,379896,96781,8503,106316,192247,62574,20265,12266,19789,2439746,900978,164801,24089,314733,2260325,673950,145240,29122,256887,320733,227090,30323,3678,101809,1778668,479722,94968,58809,307035,136914,70268,10958,4435,21621,5309934,1537683,493266,191470,790405
Sex at birth,Female,66425802,30069473,10203458,2781518,19990720,835592,577578,215340,97730,285295,156929,55166,16361,4410,24619,1491398,651773,316278,67370,339915,511725,353585,96736,39198,171923,7933662,3819975,1124086,175544,1992415,1301010,500134,125562,26000,296575,815884,303587,71572,37616,209735,218538,90873,34617,9183,57748,164076,34692,20804,22637,20506,4332169,2045143,967275,227537,1395839,1965526,1051413,461058,133878,654937,290690,165873,35095,7722,55684,397777,165093,70096,17518,78982,2393940,1188675,373924,98644,844295,1440174,514736,171620,41829,430389,675651,285772,79490,11124,144783,551743,266729,76788,24793,176949,829517,433381,165075,50357,264755,663784,487360,191640,86479,366462,334610,142711,36476,8559,42240,1407779,535933,170512,44037,292353,1595087,481221,236762,31511,439130,1926593,879691,325528,115917,700391,1266105,530961,93570,42737,223870,467561,326807,130128,37616,189004,1266705,506417,217455,87292,321933,275432,68616,42573,4154,39786,382822,163756,57030,16378,105582,565491,283111,153346,17569,209834,310227,130212,46303,7963,64609,2000518,732998,163469,59314,699147,380734,182574,94260,11218,156498,3850972,1712286,525302,270684,1431575,2039061,967245,278226,61730,886815,140000,67632,15181,5246,47728,2408568,1124805,420095,79452,549535,718874,382632,143313,37982,232801,998345,387808,73611,38096,191506,2693712,1090749,382493,67956,859790,234999,101765,24293,6720,69623,1065473,499350,147507,65285,334949,180360,72009,20901,7838,44155,1243822,699686,256698,63220,517362,5427025,2582723,869527,251071,2023772,721283,276288,56926,17079,130042,143198,57747,14117,5882,38079,1837053,745993,226955,46985,525190,1825624,646544,153545,41690,326883,309102,182407,83620,9595,118296,1321529,463254,118449,38747,334483,117353,52004,11868,2427,31949,3596783,1458415,379841,203861,1479966
Sex at birth,Male,67804603,23732984,7832133,2883807,20756512,995705,367256,114754,42482,302725,155811,61529,11984,9056,35468,1597835,542345,137905,66534,426527,597126,209188,42267,33190,216307,8358656,2144496,1224471,290218,2574652,1339752,424068,140039,57408,301823,799434,175586,59240,48798,267035,197913,97366,30704,2634,45769,176329,18638,19584,1796,11729,3493693,2256509,502991,374328,1757258,1891539,804822,385946,36731,746524,289419,133983,42743,,73425,414445,163046,47185,5370,96383,2428395,1178909,218772,149572,675992,1355186,386753,134935,63030,544526,681900,235205,56482,19157,193956,593943,221844,68120,28321,161243,797907,342795,84478,51579,372117,602997,369928,126473,96608,432986,299919,121519,34918,3801,76956,1469389,443988,110545,20624,188624,1507125,542346,76964,39118,429948,2263463,615043,214143,64069,613905,1363738,279291,110390,25315,356645,450177,321940,64296,43033,151831,1400907,349752,60637,133881,318899,243096,106143,30687,15574,38576,426753,132346,24186,10531,124659,567093,338819,107447,26446,180084,349237,108846,34637,4825,53148,1984650,597781,174534,40645,638809,395502,164700,85742,22798,120007,4160448,1229203,417849,212747,1185425,2169546,629972,354464,104611,621347,170573,56502,15567,16454,30373,2804954,766769,144441,103630,510049,732712,409153,87755,24982,189374,976644,308923,73837,46707,231445,2678019,840808,386906,113206,806524,259333,61612,22461,,69414,1047195,314300,42298,9574,498895,216124,74650,7433,6104,27297,1458863,582582,83678,106501,346287,5245989,1995163,1080016,117678,2283840,708768,298912,71910,5941,123864,164722,39421,16029,12129,17635,1927803,589263,129747,61902,475395,1831050,596072,138926,53361,357533,259452,252711,38366,6616,122527,1400315,375628,131079,50173,281215,103060,54561,11170,4019,49538,4544064,1015154,475777,215287,1301061
Sexual orientation,Bisexual,4687613,2848673,1286729,358648,1717920,59965,35277,38336,,31129,15565,7356,3412,804,11771,151192,35511,8026,64575,59335,39291,26421,8867,10552,15466,551739,495306,127337,74383,102615,79186,46010,15578,,44032,39273,37806,5495,2627,16701,20269,4163,2458,1835,7251,25562,3834,4592,1043,1684,184979,44503,75904,24709,127676,140184,94504,93066,18688,142105,5173,7908,22983,,,28164,17255,2063,3069,9210,204198,66626,4054,,64038,99173,53942,36616,,89013,37721,24749,,,21196,44906,31258,29484,1283,10416,32364,22045,40694,,32633,27838,32908,34792,4519,44294,27333,16545,,,5869,109944,85631,18678,7064,3687,60613,88961,19547,,7495,155572,74265,31415,16170,20831,54996,33974,4548,,13291,7603,5512,14270,2951,9788,83490,38031,23324,12757,61079,13917,6086,4207,1657,12164,52510,23782,4726,,15539,43971,24203,6555,,8197,24433,14588,3722,,7040,118335,124846,,18373,31999,39457,13534,9010,,11122,262087,145323,67951,13238,,98117,35961,30788,,97401,4756,8329,2769,557,352,46685,113118,104510,,24532,102958,24555,18286,3442,30896,202909,57360,10004,16719,28639,129363,139033,94778,2452,111869,22845,2460,1783,,18799,27340,45187,9044,,11490,5363,6593,942,1165,,41956,77705,,738,19583,563013,198969,123692,24101,142523,58088,35198,29225,6031,13284,13652,6784,,2233,4411,134929,113637,18975,1263,66110,203005,75755,50769,19356,104137,16642,31932,18897,,,167591,90568,10293,,4882,7398,2867,267,293,349,257575,137206,48386,31611,31999
Sexual orientation,Did not report,1512220,826144,383256,148079,2191918,19964,21993,19556,,34867,5107,1460,,,4965,109870,4403,1307,,45846,17189,7761,,,24291,271078,81373,76537,6046,288433,18675,9460,2899,,65221,22748,7546,9517,,19392,7598,5038,,212,2003,742,112,,,1566,54426,140010,6142,17462,145240,62045,19430,16473,614,64401,1480,,2265,,4433,8735,2490,1502,,1391,29565,35378,6229,,82979,21511,10700,,,36303,11266,1775,,,5528,9391,10188,,,14728,20786,21944,,,49517,14535,12083,7580,,29923,9843,6163,,,2320,30219,20400,29414,16184,42526,37767,8605,2967,7343,33592,26202,22421,6501,,65486,18596,1849,8121,,46708,10554,,3804,1117,13542,31604,23923,5200,6821,39796,6234,717,986,,5196,8897,13093,,,12091,21521,3088,,,16565,7281,,,,3805,17914,45305,3743,,91006,13232,1069,,,9976,132563,80682,125193,48199,175173,34259,,,34353,31112,2844,454,244,205,5871,37756,1740,,,110905,4398,2751,1538,,15188,23755,24459,2739,,22872,27308,23368,9717,,37086,5026,2996,,,5052,7175,7931,,,16155,2027,12794,,,1908,11158,29337,,,31281,170696,52411,19455,,274201,18093,5872,,2161,19273,2089,420,,,988,25880,6932,13628,,46830,32207,25665,,7362,35835,6602,2324,,,7215,18587,6227,,,49290,3223,,,,2047,90653,119882,128935,48199,135484
Sexual orientation,Gay or lesbian,4476537,1823079,574165,182402,1300228,45155,30122,,,34268,7018,2988,2261,,435,143912,28981,32663,,35266,10407,5955,1157,,30495,676841,155430,50532,2232,326435,85981,24304,24089,9098,,33010,13976,8236,,21334,7405,3891,3533,,7482,45641,2558,219,1796,1339,325703,354403,58224,2286,121460,169452,65257,44933,5632,20259,32705,11070,,,4209,13484,6669,10992,,616,137415,34699,9973,4417,17351,105090,36764,12631,13282,9602,23404,17528,,,,24336,11879,,,6540,26028,14443,26269,,958,60720,4563,3223,20630,38760,9614,16378,680,,12756,136254,53493,4714,,1839,107930,68939,12393,1774,11344,47401,21612,13630,13935,3880,54918,15772,,3500,14579,10601,17380,9173,1902,,68340,17011,,9161,,13730,2397,,500,,16458,10800,5247,,2125,17204,47945,17751,858,8472,19073,6212,2775,,2303,129483,21947,,8080,55197,26753,24632,422,,8380,257574,120006,26678,,59690,149647,35990,,,42936,1866,8037,,1502,,219127,3011,,3572,9702,29260,7670,,3557,,54565,28586,28623,,15955,153499,37380,53124,17114,58061,9396,6156,703,,1592,24429,15069,3681,,,5460,5636,,,207,151215,19285,23839,13939,4979,461455,264948,12705,10153,220376,26708,6130,1689,1533,7810,5281,2476,8232,296,5691,91286,36242,20094,25283,45526,150318,35619,3437,408,3465,11797,6706,5533,5286,,36152,33678,30107,,25494,6039,457,,677,1060,304273,79379,26678,8080,114886
